target sbox:
0xCE, 0x3D, 0xF4, 0xEB, 0x69, 0x79, 0xB3, 0xD3, 0xFF, 0x3A, 0x61, 0xEF, 0xA8, 0x09, 0xE5, 0x4A, 
0x39, 0x0B, 0x71, 0x63, 0x80, 0xAC, 0xE1, 0x21, 0x0E, 0x22, 0xCF, 0x28, 0x75, 0x1D, 0xC0, 0xE3, 
0x43, 0x67, 0x11, 0x59, 0x46, 0xC8, 0x3E, 0xAB, 0x06, 0x9D, 0x72, 0xF5, 0xCC, 0x03, 0x88, 0x5B, 
0xE9, 0x13, 0xF3, 0x31, 0xBA, 0x30, 0x7E, 0x90, 0x3F, 0x41, 0x86, 0xE8, 0x6D, 0xA2, 0xCB, 0x85, 
0x83, 0x51, 0xCA, 0x40, 0x9B, 0xA4, 0x2D, 0xF8, 0x92, 0x5C, 0x89, 0x42, 0x20, 0x35, 0xAF, 0x1A, 
0xE2, 0x7F, 0x29, 0x1E, 0x8A, 0x7C, 0x5E, 0x54, 0x6F, 0x6B, 0xE6, 0xC4, 0xEE, 0xC6, 0xD1, 0xA3, 
0xC5, 0x05, 0x25, 0xA7, 0x24, 0x47, 0x81, 0x99, 0xF9, 0x01, 0x6E, 0x2C, 0xED, 0x4C, 0x1C, 0xF7, 
0xFE, 0x60, 0xD8, 0x32, 0x6C, 0x78, 0x7D, 0x94, 0x26, 0x8E, 0xD6, 0x50, 0x58, 0x08, 0xA1, 0x0F, 
0xFA, 0xA9, 0xC3, 0x82, 0xD2, 0xE7, 0x12, 0x2B, 0x19, 0xB7, 0xDF, 0xDE, 0xBB, 0xCD, 0x87, 0x0A, 
0xBF, 0x9A, 0xD9, 0xBD, 0x2F, 0x6A, 0x3B, 0x97, 0x55, 0xFC, 0x96, 0x44, 0x8F, 0xDD, 0x98, 0xF2, 
0x2A, 0x5F, 0xFD, 0x84, 0xB6, 0x36, 0x65, 0x23, 0x4F, 0x34, 0x8B, 0xA0, 0x73, 0x7B, 0xA6, 0xB5, 
0x91, 0x38, 0x3C, 0x37, 0xBC, 0xEA, 0xAD, 0x93, 0x1F, 0x66, 0xE4, 0x9C, 0xB2, 0xBE, 0x7A, 0x9E, 
0xDC, 0x4B, 0xE0, 0x53, 0x04, 0xC7, 0x0D, 0x62, 0x95, 0x74, 0x27, 0x70, 0x02, 0xC1, 0x07, 0xAA, 
0xC9, 0x48, 0xB9, 0xDA, 0x56, 0xD5, 0xEC, 0xD0, 0x52, 0xDB, 0x5A, 0xF1, 0xF6, 0xA5, 0xD7, 0x77, 
0x9F, 0x1B, 0x33, 0xC2, 0x64, 0x45, 0x57, 0x18, 0x15, 0x8C, 0xB4, 0x49, 0x76, 0x10, 0x14, 0x5D, 
0x17, 0xAE, 0x4D, 0xB8, 0x2E, 0xFB, 0xB0, 0x68, 0x8D, 0x00, 0xD4, 0x0C, 0x4E, 0x16, 0xB1, 0xF0, 
NL=104
