target sbox:
0xF6, 0x89, 0xC6, 0x9C, 0xD7, 0x6D, 0x87, 0x5B, 0xC2, 0x67, 0xD1, 0xEB, 0x9F, 0x70, 0xF8, 0x57, 
0xE7, 0x14, 0x10, 0x0F, 0x93, 0xF1, 0x7A, 0xAB, 0x39, 0xA3, 0x6C, 0x38, 0xC3, 0xCD, 0x11, 0xE4, 
0x40, 0xF9, 0x9B, 0x0B, 0x98, 0x64, 0xE5, 0xB3, 0x3C, 0xA2, 0xED, 0x76, 0xF4, 0x23, 0xE3, 0xF0, 
0x4D, 0xFE, 0x13, 0xDF, 0x22, 0x21, 0xBD, 0x05, 0x4E, 0x32, 0x4F, 0x0C, 0xD3, 0x6F, 0x85, 0xA4, 
0x3A, 0xD4, 0xDC, 0xE6, 0xD2, 0xE9, 0xB8, 0x60, 0xBF, 0xA0, 0x24, 0x0A, 0xAE, 0xBA, 0x7B, 0xBC, 
0x37, 0xD5, 0x20, 0x69, 0xE0, 0x44, 0x52, 0x1F, 0x47, 0x15, 0xEC, 0x6A, 0x75, 0x91, 0x90, 0x29, 
0x6B, 0x66, 0x02, 0x03, 0x09, 0x84, 0xEF, 0x5D, 0xCB, 0xB6, 0xA6, 0x06, 0xB4, 0xC7, 0x3E, 0x53, 
0x54, 0xFB, 0x55, 0xB5, 0xAF, 0x27, 0x50, 0x78, 0xC0, 0x01, 0x00, 0x8C, 0x43, 0x2A, 0x42, 0xDB, 
0x9A, 0x81, 0x56, 0x7E, 0x2E, 0x26, 0x73, 0xCC, 0x88, 0x65, 0x62, 0x41, 0x07, 0xA7, 0x6E, 0x4A, 
0xA8, 0x5C, 0x2C, 0x3B, 0x28, 0x12, 0x92, 0x7D, 0x58, 0xEA, 0xD8, 0xFD, 0x0D, 0x7F, 0x08, 0x8D, 
0x5F, 0xC8, 0x82, 0x71, 0x33, 0x79, 0xAD, 0x48, 0xDD, 0x9D, 0x16, 0x25, 0x4B, 0xFC, 0xC1, 0x1C, 
0x74, 0x9E, 0xFA, 0x1E, 0xD0, 0x5E, 0xB1, 0xCF, 0x18, 0x2B, 0x59, 0x0E, 0x2D, 0x8B, 0x8E, 0xCE, 
0xCA, 0x72, 0xF2, 0xB0, 0x2F, 0x19, 0x45, 0x51, 0x36, 0xDE, 0x34, 0x8F, 0xD6, 0xFF, 0x94, 0x68, 
0xD9, 0xC5, 0x4C, 0xB9, 0xE8, 0xF5, 0xC4, 0x3D, 0x49, 0xB7, 0xAA, 0x8A, 0xF3, 0xE1, 0x3F, 0xA9, 
0xA5, 0xBE, 0xF7, 0x80, 0x97, 0xAC, 0x86, 0x46, 0x35, 0xA1, 0x7C, 0x95, 0x5A, 0xDA, 0x17, 0x04, 
0xC9, 0x1D, 0x31, 0xB2, 0x99, 0xE2, 0x77, 0x1B, 0x63, 0xBB, 0x1A, 0x30, 0x96, 0x83, 0xEE, 0x61, 
NL=104
